Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers,Hiring
Accenture,IT Consulting & Other Services,"Dublin, Ireland",False,False
Adobe Inc.,Application Software,"San Jose, California",False,False
Akamai,Internet Services & Infrastructure,"Cambridge, Massachusetts",False,False
Alexandria Real Estate Equities,Office REITs,"Pasadena, California",False,False
American Tower,Telecom Tower REITs,"Boston, Massachusetts",False,False
Ansys,Application Software,"Canonsburg, Pennsylvania",False,False
Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California",False,False
Autodesk,Application Software,"San Francisco, California",False,False
AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia",False,False
Boston Properties,Office REITs,"Boston, Massachusetts",False,False
Cadence Design Systems,Application Software,"San Jose, California",False,False
Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas",False,False
Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",False,False
Crown Castle,Telecom Tower REITs,"Houston, Texas",False,False
Digital Realty,Data Center REITs,"Austin, Texas",False,False
EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania",False,False
Equinix,Data Center REITs,"Redwood City, California",False,False
Equity Residential,Multi-Family Residential REITs,"Chicago, Illinois",False,False
Essex Property Trust,Multi-Family Residential REITs,"San Mateo, California",False,False
Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah",False,False
Fair Isaac,Application Software,"Bozeman, Montana",False,False
Federal Realty,Retail REITs,"Rockville, Maryland",False,False
Fortinet,Systems Software,"Sunnyvale, California",False,False
Gartner,IT Consulting & Other Services,"Stamford, Connecticut",False,False
Gen Digital,Systems Software,"Tempe, Arizona",False,False
Healthpeak,Health Care REITs,"Denver, Colorado",False,False
Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas",False,False
Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland",False,False
HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California",False,False
IBM,IT Consulting & Other Services,"Armonk, New York",False,False
Intuit,Application Software,"Mountain View, California",False,False
Invitation Homes,Single-Family Residential REITs,"Dallas, Texas",False,False
Iron Mountain,Other Specialized REITs,"Boston, Massachusetts",False,False
Keysight,Electronic Equipment & Instruments,"Santa Rosa, California",False,False
Kimco Realty,Retail REITs,"New Hyde Park, New York",False,False
Microsoft,Systems Software,"Redmond, Washington",False,False
Mid-America Apartment Communities,Multi-Family Residential REITs,"Memphis, Tennessee",False,False
NetApp,"Technology Hardware, Storage & Peripherals","San Jose, California",False,False
Oracle Corporation,Application Software,"Austin, Texas",False,False
Palo Alto Networks,Systems Software,"Santa Clara, California",False,False
Prologis,Industrial REITs,"San Francisco, California",False,False
PTC,Application Software,"Boston, Massachusetts",False,False
Public Storage,Self-Storage REITs,"Glendale, California",False,False
Realty Income,Retail REITs,"San Diego, California",False,False
Regency Centers,Retail REITs,"Jacksonville, Florida",False,False
Roper Technologies,Electronic Equipment & Instruments,"Sarasota, Florida",False,False
Salesforce,Application Software,"San Francisco, California",False,False
SBA Communications,Telecom Tower REITs,"Boca Raton, Florida",False,False
Seagate Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",False,False
ServiceNow,Systems Software,"Santa Clara, California",False,False
Simon Property Group,Retail REITs,"Indianapolis, Indiana",False,False
Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California",False,False
Synopsys,Application Software,"Sunnyvale, California",False,False
Teledyne Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California",False,False
Trimble Inc.,Electronic Equipment & Instruments,"Westminster, Colorado",False,False
Tyler Technologies,Application Software,"Plano, Texas",False,False
"UDR, Inc.",Multi-Family Residential REITs,"Highlands Ranch, Colorado",False,False
Ventas,Health Care REITs,"Chicago, Illinois",False,False
Verisign,Internet Services & Infrastructure,"Dulles, Virginia",False,False
Vici Properties,Hotel & Resort REITs,"New York City, New York",False,False
Welltower,Health Care REITs,"Toledo, Ohio",False,False
Western Digital,"Technology Hardware, Storage & Peripherals","San Jose, California",False,False
Weyerhaeuser,Timber REITs,"Seattle, Washington",False,False
Zebra Technologies,Electronic Equipment & Instruments,"Lincolnshire, Illinois",False,False
